Product Name,Company,Export Country,Date,Units Sold,unit_price,Profit per unit,Export Value,Destination Port,Transportation Mode,Profit,Country,Latitude,Longitude
Rubber,Farmgate Nigeria Limited,Austria,2023-11-16,721,31443.05,5863.92,22670439.05,Lagos,Sea,184379529.756,Austria,47.516236,14.550072
Palm Oil,Prime Agro Exports Nigeria Limited,Germany,2021-01-08,881,23151.97,5868.73,20396885.57,Lagos,Sea,135872660.8981,Germany,51.165691,10.451526
Cassava,Farmgate Nigeria Limited,Germany,2020-10-14,702,18536.45,5105.01,13012587.9,Calabar,Sea,94628762.6145,Germany,51.165691,10.451526
Rubber,Nigerian Export Promotion Council (NEPC),Belgium,2022-12-31,191,21981.31,7781.54,4198430.21,Warri,Sea,171048443.0174,Belgium,50.508308,4.351728
Sesame,Nigeria Agro Export Company,France,2022-12-19,373,13415.94,9590.95,5004145.62,Lagos,Sea,128671609.74300002,France,48.856614,2.352221
Palm Oil,Greenfield Agro Exporters Nigeria Limited,Netherlands,2021-07-13,593,44749.95,4498.48,26536720.35,Lagos,Sea,201306755.07599998,Netherlands,52.377956,4.897976
Rubber,Solid Agro Nigeria Limited,Denmark,2022-02-22,142,21985.66,5963.85,3121963.72,Lagos,Sea,131119178.391,Denmark,56.2563,9.568083
Sesame,Nigerian Export Promotion Council (NEPC),Sweden,2021-03-22,990,16931.73,3464.19,16762412.7,Calabar,Sea,58654729.7487,Sweden,59.334732,18.057936
Rubber,Agro Export Nigeria Ltd,Denmark,2022-08-01,606,17896.94,5326.45,10845545.64,Lagos,Sea,95327156.063,Denmark,56.2563,9.568083
Cashew,Golden Farms Nigeria Limited,Netherlands,2020-11-26,900,42463.53,5468.54,38217177.0,Lagos,Sea,232213512.3462,Netherlands,52.377956,4.897976
Rubber,Nigerian Export Promotion Council (NEPC),Switzerland,2022-12-10,192,23536.16,2812.83,4518942.72,Lagos,Sea,66203216.932799995,Switzerland,46.818188,8.2275
Ginger,Agriplus Nigeria Limited,Italy,2021-06-21,566,15516.87,3043.78,8782548.42,Warri,Sea,47229938.56860001,Italy,41.890238,12.496365
Cashew,Agriplus Nigeria Limited,Denmark,2022-08-26,220,37731.49,5466.27,8300927.8,Warri,Sea,206250511.8423,Denmark,56.2563,9.568083
Cassava,Agro Allied Exporters Nigeria Limited,Spain,2020-10-14,963,29641.1,7617.73,28544379.3,Calabar,Sea,225797896.70299998,Spain,40.463831,-3.749225
Plantain,Greenfield Agro Exporters Nigeria Limited,Italy,2023-07-10,700,24041.35,3922.05,16828945.0,Lagos,Sea,94291376.7675,Italy,41.890238,12.496365
Plantain,Golden Farms Nigeria Limited,Sweden,2021-06-19,341,20126.79,5442.89,6863235.39,Calabar,Sea,109547904.02310002,Sweden,59.334732,18.057936
Rubber,Solid Agro Nigeria Limited,Austria,2022-06-17,250,27849.16,4734.07,6962290.0,Lagos,Sea,131839872.88119999,Austria,47.516236,14.550072
